CASEID,SEX,AGE,RACE,MARITAL,CHILDS,AGEKDBRN,EARNRS,BORN,CLASS,DWELOWN,INCOME16CAT,INCOME,RINCOM16CAT,RINCOME,EDUC,SPEDUC,PAEDUC,MAEDUC,DEGREE,SPDEG,PADEG,MADEG,WRKSTAT,SPWRKSTA,HRS1,SPHRS1,WRKSLF,PAWRKSLF,MAWRKSLF,WRKGOVT,TVHOURS,PARTYID,PARTYID3,PARTYID2,POLVIEWS,POLVIEWS3,POLVIEWS2,CAPPUN,GUNLAW,EQWLTH,HELPPOOR,HELPNOT,HELPSICK,TAX,ODDS1,ODDS2,HOTCORE,EARTHSUN,ELECTRON,VIRUSES,BIGBANG,CONDRIFT,EVOLVED,JOBLOSE,JOBFIND,SATJOB,RICHWORK,NEWS,HAPPY,HAPMAR,HEALTH,LIFE,UNEMP,UNION,PARSOL,KIDSSOL,CONFINAN,CONBUS,CONEDUC,CONFED,CONLABOR,CONPRESS,CONMEDIC,CONJUDGE,CONLEGIS,COURTS,GRASS,RANK,SATFIN,FINALTER,GRANBORN,HOMPOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63395,2,59,1,1,2,24,2,1,2,,16,32500,16,32500,20,12,8,12,4,1,0,1,1,1,50,45,2,2,2,2,,6,3,3,6,3,3,1,2,7,4,5,5,1,0,0,0,0,0,0,0,0,0,,,1,2,,1,1,2,1,2,4,1,4,3,1,2,1,2,3,2,2,3,3,1,5,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63396,1,68,1,3,1,33,0,2,3,1,8,9000,,,14,,8,8,2,,0,0,5,,,,1,2,2,2,2,1,1,1,3,1,1,2,1,,,,,2,2,2,1,1,1,2,1,1,1,,,,,3,2,,2,2,,,,,,,,,,,,,,1,,5,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63397,1,73,1,1,1,,1,1,3,1,23,120000,,,18,16,6,12,4,3,0,1,5,7,,,2,2,2,2,5,5,3,3,7,3,3,1,,7,5,5,5,,0,0,0,0,0,0,0,0,0,,,,,1,2,1,,,2,4,1,5,3,1,2,3,3,3,1,1,2,,1,3,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63398,1,67,1,1,2,25,1,1,3,,22,100000,,,18,13,12,12,4,1,1,1,5,5,,,2,1,1,1,,5,3,3,6,3,3,1,1,7,4,4,4,1,0,0,0,0,0,0,0,0,0,,,,,,1,1,3,2,2,4,1,1,2,1,2,3,3,3,1,1,3,3,1,4,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63399,1,70,1,1,2,25,0,1,3,1,21,82500,,,19,20,12,16,4,4,1,3,5,5,,,2,1,2,2,0,5,3,3,6,3,3,1,2,,,,,2,2,1,1,1,1,2,1,1,1,,,,,5,3,1,2,1,,,,,,,,,,,,,,2,,4,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63400,2,61,1,1,4,29,2,1,3,,21,82500,16,32500,16,16,14,12,3,3,2,1,1,1,40,40,2,2,,2,,6,3,3,6,3,3,1,1,6,4,3,4,2,0,0,0,0,0,0,0,0,0,,,1,1,,1,1,1,1,2,4,2,1,2,1,2,1,2,3,1,1,2,2,1,5,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63401,2,50,1,1,2,28,3,1,3,2,26,180000,18,45000,14,15,14,12,2,1,2,1,1,1,36,72,2,1,2,2,2,4,2,,4,2,,1,,5,3,,3,,2,1,1,2,1,2,0,1,2,4,1,1,,5,2,2,,,2,4,2,1,2,2,2,2,2,2,2,2,2,2,1,5,3,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63402,1,67,1,1,1,37,0,1,3,,21,82500,,,16,16,,12,3,3,,1,5,5,,,2,,2,1,,0,1,1,2,1,1,2,1,1,3,3,1,2,0,0,0,0,0,0,0,0,0,,,,,,2,2,1,2,2,4,1,5,3,2,2,3,2,2,1,1,3,3,1,3,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63403,1,39,1,1,2,30,2,1,3,1,23,120000,23,120000,17,16,,14,4,3,,2,1,6,40,,2,,2,2,1,7,,,6,3,3,2,2,,,,,1,2,1,1,1,1,2,0,1,0,3,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,3,,3,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63404,2,48,1,1,2,30,2,1,2,,25,160000,21,82500,18,16,12,11,4,3,1,1,2,1,35,50,1,2,,2,,4,2,,7,3,3,1,2,7,4,4,4,1,0,0,0,0,0,0,0,0,0,,,1,1,,1,1,2,1,2,4,1,4,2,1,3,2,2,3,2,2,3,,1,3,1,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63405,2,19,1,5,0,,4,1,2,2,19,55000,2,2000,13,,20,16,1,,1,1,2,,20,,2,2,2,2,0,6,3,3,6,3,3,1,1,,,,,,2,1,1,1,1,2,2,1,2,3,2,2,1,5,1,,1,1,,,,,,,,,,,,,,2,,4,2,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63406,1,58,1,1,4,22,0,2,1,2,10,13750,,,12,13,,0,1,1,0,0,8,4,,,2,2,,2,4,2,2,,4,2,,2,,3,3,3,3,,1,2,8,1,8,1,0,8,2,,,,,4,2,2,,,2,4,3,3,2,3,2,2,2,2,1,2,,3,2,5,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63407,2,54,2,4,3,17,1,1,2,2,20,67500,20,67500,14,,,10,2,,,0,1,,44,,2,2,2,2,3,2,2,,4,2,,,,3,3,2,2,,0,0,0,0,0,0,0,0,0,3,2,1,,4,2,,,,1,4,1,1,2,2,2,3,2,2,1,2,3,1,1,5,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63408,1,20,1,5,0,,0,1,1,,1,500,,,11,,,10,0,,,0,6,,,,,2,,,,2,2,,4,2,,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,3,,2,1,1,4,,,3,3,3,3,1,2,2,2,2,1,1,10,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63409,2,89,1,2,3,23,0,1,2,1,13,21250,,,15,,,16,1,,,1,5,,,,2,,,2,4,0,1,1,4,2,,2,,4,3,,3,,2,1,2,1,2,2,0,1,0,,,,,5,1,,,,2,4,3,3,2,2,2,3,2,1,1,1,2,2,2,5,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63410,2,44,1,1,3,18,3,2,2,2,,,,,11,14,,6,0,1,,0,7,1,,60,2,2,2,2,2,7,,,4,2,,1,1,,,,,2,2,1,1,1,8,1,0,1,0,,,1,,2,1,1,3,1,,,,,,,,,,,,,,3,,5,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63411,1,59,2,1,3,19,3,1,2,,21,82500,19,55000,12,12,,,1,1,,,1,1,32,40,2,,2,2,,3,2,,4,2,,1,1,4,3,1,3,1,0,0,0,0,0,0,0,0,0,,,1,2,,2,1,3,2,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,5,2,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63412,2,47,3,1,0,,1,2,2,1,17,37500,,,17,12,6,6,3,1,0,0,7,1,,40,2,2,,2,4,2,2,,5,3,3,1,,5,3,3,3,,0,0,0,0,0,0,0,0,0,,,4,,5,1,1,,,1,4,1,1,2,1,3,3,2,3,2,2,2,2,1,5,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63413,2,46,1,1,2,32,1,1,3,1,16,32500,,,18,18,,12,4,4,,1,7,1,,40,2,,2,1,2,5,3,3,7,3,3,2,1,,,,,2,2,1,1,1,1,2,2,1,2,,,1,,4,2,2,2,1,,,,,,,,,,,,,,2,,5,2,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63414,1,55,3,1,2,33,2,2,3,,18,45000,14,23750,15,12,14,8,1,1,1,0,1,1,40,,2,2,2,2,,3,2,,1,1,1,1,1,7,1,1,3,1,0,0,0,0,0,0,0,0,0,,,2,1,,2,1,2,1,2,4,1,1,1,2,2,,3,2,1,2,2,3,1,7,2,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63415,1,65,2,1,5,21,3,2,2,1,,,,,12,16,,12,1,3,,1,1,1,40,40,2,,,1,2,6,3,3,4,2,,1,,3,4,3,5,,1,2,1,2,2,2,0,8,2,,2,2,,3,2,2,,,2,4,4,2,2,2,2,2,2,3,2,2,2,2,1,5,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63416,2,23,1,5,0,,1,1,2,2,,,,,14,,,12,2,,,4,1,,40,,2,2,2,2,0,3,2,,3,1,1,,1,,,,,,2,1,1,2,8,1,1,1,8,4,2,1,1,4,2,,2,1,,,,,,,,,,,,,,,,5,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63417,2,28,1,1,4,15,1,1,2,2,16,32500,,,9,10,,17,0,0,0,3,7,1,,40,2,2,2,2,1,1,1,1,5,3,3,2,,3,3,2,2,,2,1,1,1,2,2,0,8,0,,,2,,5,1,2,,,1,4,2,1,3,2,2,3,2,2,2,1,2,2,2,6,3,3,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63418,2,76,1,2,0,,1,1,2,2,,,,,17,,7,8,3,,0,0,2,,20,,1,1,2,2,2,4,2,,6,3,3,2,1,,,,,2,2,1,1,1,2,2,0,2,0,4,3,1,1,5,2,,3,1,,,,,,,,,,,,,,3,,4,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63419,1,45,1,4,0,,1,1,3,,19,55000,19,55000,14,,12,12,3,,1,1,1,,55,,2,1,2,2,,0,1,1,2,1,1,2,1,5,3,3,2,2,0,0,0,0,0,0,0,0,0,,,2,2,,2,,2,1,2,4,3,,2,2,1,3,2,1,1,1,3,,1,3,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63420,2,40,1,5,2,25,1,2,2,,12,18750,,,9,,6,6,0,,0,0,2,,20,,2,1,,2,,3,2,,4,2,,2,1,1,1,3,,1,0,0,0,0,0,0,0,0,0,,,3,1,,3,,3,2,1,4,2,1,2,2,2,2,2,2,2,2,3,2,2,5,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63421,2,77,1,3,3,20,0,1,3,1,10,13750,,,12,,12,3,1,,1,0,5,,,,2,2,2,2,0,6,3,3,7,3,3,,1,,,,,2,1,2,1,8,2,2,0,2,0,,,,,5,2,,2,2,,,,,,,,,,,,,,,,5,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63422,1,74,1,5,0,,0,1,3,,20,67500,,,18,,12,12,4,,1,1,5,,,,2,2,,1,,2,2,,2,1,1,2,1,3,2,3,1,2,0,0,0,0,0,0,0,0,0,,,,,,1,,3,1,2,4,3,4,1,1,1,3,2,2,1,2,2,,1,3,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63423,2,79,1,1,3,18,2,1,3,1,21,82500,,,6,6,,6,0,0,0,0,5,2,,20,2,2,2,2,5,6,3,3,6,3,3,2,,4,3,3,3,,0,0,0,0,0,0,0,0,0,,,,,3,1,1,,,2,4,1,1,2,1,2,2,2,3,3,2,3,2,2,5,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63424,1,70,1,1,5,20,0,1,2,1,3,3500,,,9,9,6,6,0,0,0,0,5,5,,,2,2,2,2,8,1,1,1,5,3,3,2,2,,,,,2,8,1,1,2,1,2,2,2,2,,,,,5,1,1,4,2,,,,,,,,,,,,,,3,,5,3,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63425,1,61,1,1,4,21,1,1,3,,9,11250,1,500,12,12,8,12,0,1,0,1,8,7,,,2,2,,2,,1,1,1,4,2,,1,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,1,1,3,2,1,4,4,2,2,1,2,2,2,1,1,2,3,2,1,5,3,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63426,1,49,3,1,5,27,4,2,2,1,18,45000,18,45000,6,0,,,0,0,,,1,1,55,55,1,1,,2,3,3,2,,4,2,,2,,2,5,3,3,,1,1,1,1,8,1,0,2,0,4,3,1,,5,1,2,,,2,4,1,1,2,,1,2,2,2,1,2,2,2,2,6,1,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63427,1,38,1,1,2,34,1,2,2,2,16,32500,16,32500,14,18,13,18,3,4,0,4,1,1,40,40,2,1,2,2,1,3,2,,4,2,,2,2,,,,,1,2,1,1,1,2,2,2,1,2,1,3,3,1,1,3,1,3,1,,,,,,,,,,,,,,3,,7,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63428,2,25,1,5,0,,1,1,3,,16,32500,16,32500,16,,16,18,3,,3,4,1,,40,,2,2,2,2,,5,3,3,5,3,3,1,1,6,4,4,2,1,0,0,0,0,0,0,0,0,0,,,2,2,,2,,2,2,2,4,4,4,1,2,2,2,2,3,2,2,2,2,1,5,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63429,1,36,2,1,3,22,2,1,3,2,22,100000,20,67500,16,16,,12,1,3,,1,1,1,58,40,2,,2,2,4,1,1,1,4,2,,1,,6,3,3,2,,2,1,1,1,2,1,0,1,2,4,1,1,,5,2,2,,,2,4,1,1,1,2,3,2,3,2,3,3,2,2,1,3,2,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63430,2,75,1,2,2,28,0,1,2,,16,32500,,,16,,19,18,3,,4,4,5,,,,2,2,2,2,,6,3,3,6,3,3,1,2,5,3,4,3,2,0,0,0,0,0,0,0,0,0,,,,,,2,,2,2,2,4,2,2,1,2,3,2,2,3,1,2,3,3,2,5,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63431,1,22,1,1,0,,2,1,3,1,21,82500,21,82500,13,14,16,14,1,2,3,2,1,1,55,40,2,2,2,2,0,4,2,,6,3,3,1,,5,4,3,4,,0,0,0,0,0,0,0,0,0,3,2,3,,5,2,1,,,2,4,3,3,3,2,3,1,2,3,2,2,3,2,1,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63432,1,45,1,1,1,23,1,1,2,1,19,55000,,,14,14,16,12,1,1,3,1,1,7,40,,2,2,1,2,4,6,3,3,6,3,3,1,2,,,,,1,2,2,1,1,1,1,1,1,2,4,1,2,1,5,2,1,2,2,,,,,,,,,,,,,,2,,5,2,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63433,2,26,3,5,2,23,2,1,1,,12,18750,7,7500,14,,3,0,1,,0,0,2,,21,,2,2,2,2,,5,3,3,4,2,,1,1,2,3,3,3,2,0,0,0,0,0,0,0,0,0,,,1,1,,2,,2,2,1,4,1,1,2,2,2,2,2,2,1,2,2,2,1,3,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63434,1,40,2,5,0,,1,1,2,2,19,55000,19,55000,14,,12,12,1,,1,1,1,,40,,2,2,2,2,3,0,1,1,4,2,,1,1,,,,,1,1,2,1,1,2,1,0,1,0,3,3,2,1,4,2,,2,1,,,,,,,,,,,,,,2,,6,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63435,2,26,2,4,3,19,2,1,2,,22,100000,22,100000,12,,11,16,1,,1,3,1,,42,,2,2,2,2,,3,2,,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,2,1,,1,,2,1,1,4,2,1,1,2,2,3,2,1,3,3,3,1,1,6,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63436,2,60,3,3,3,17,1,1,1,1,19,55000,15,27500,11,,,14,0,,,2,1,,40,,2,,2,1,4,1,1,1,5,3,3,2,,4,3,3,1,,0,0,0,0,0,0,0,0,0,,3,3,,5,3,,,,2,4,2,2,3,3,3,,3,3,3,3,3,,1,5,3,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63437,1,32,1,1,4,22,2,1,2,,20,67500,20,67500,16,12,19,,1,1,3,,2,1,25,40,1,1,,2,,4,2,,4,2,,2,1,5,5,4,3,1,0,0,0,0,0,0,0,0,0,,,1,1,,3,1,2,2,1,4,1,4,2,3,2,2,3,3,3,3,3,1,1,8,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63438,2,54,1,3,3,29,2,1,3,1,21,82500,19,55000,13,,12,12,1,,1,1,1,,30,,2,2,,2,3,1,1,1,3,1,1,1,,4,2,3,4,,2,1,1,1,2,2,0,1,1,3,3,1,,5,2,,,,1,4,2,1,2,2,2,3,3,3,1,2,3,3,8,6,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63439,1,27,1,5,0,,1,1,1,2,18,45000,18,45000,12,,,10,0,,,0,1,,35,,2,,2,2,5,3,2,,6,3,3,1,,7,1,1,1,,0,0,0,0,0,0,0,0,0,3,3,3,,5,3,,,,2,4,4,3,2,2,1,2,2,2,2,2,3,1,1,6,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63440,2,27,2,5,1,22,1,1,2,,14,23750,14,23750,14,,,11,2,,,0,1,,40,,2,,2,2,,3,2,,,,,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,2,2,,2,,2,2,2,4,2,1,2,2,2,3,2,2,2,3,3,,1,6,3,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63441,1,34,1,5,2,22,1,1,3,2,18,45000,18,45000,12,,12,16,1,,1,3,1,,45,,2,2,2,2,7,1,1,1,7,3,3,1,1,,,,,1,2,1,1,1,2,1,0,2,0,4,2,2,2,5,2,,2,2,,,,,,,,,,,,,,1,,4,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63442,2,37,1,1,2,26,1,2,3,,23,120000,,,16,17,17,16,3,3,3,3,7,1,,60,2,2,,1,,4,2,,6,3,3,2,1,5,4,3,3,2,0,0,0,0,0,0,0,0,0,,,1,,,1,1,2,1,2,4,2,3,1,1,2,2,1,3,2,2,2,3,1,5,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63443,1,41,1,1,5,31,1,1,2,,23,120000,23,120000,16,18,3,8,3,4,0,0,1,7,60,,2,1,1,2,,4,2,,6,3,3,1,2,5,3,4,2,1,0,0,0,0,0,0,0,0,0,,,1,1,,1,1,2,1,2,1,1,2,2,2,3,3,1,2,2,2,3,2,2,4,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63444,2,32,1,3,2,22,1,1,3,1,26,180000,26,180000,13,,16,12,1,,3,1,1,,41,,2,1,1,2,0,4,2,,3,1,1,1,,5,3,3,2,,2,1,1,1,1,2,0,1,1,4,2,1,,5,1,,,,2,4,2,4,2,2,2,2,2,2,2,2,2,2,1,5,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63445,1,43,1,5,0,,1,1,3,1,10,13750,,,18,,14,12,4,,2,1,4,,,,2,2,2,2,5,1,1,1,4,2,,1,2,,,,,1,2,1,1,1,2,1,0,1,0,,,2,1,5,2,,2,2,,,,,,,,,,,,,,1,,4,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63446,1,42,1,1,2,34,2,1,3,,23,120000,21,82500,18,12,14,,4,1,1,,1,1,50,40,2,2,,2,,4,2,,2,1,1,1,2,6,4,3,4,2,0,0,0,0,0,0,0,0,0,,,1,2,,2,1,2,1,2,4,2,3,1,1,1,1,2,2,1,1,2,3,1,5,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63447,1,57,1,1,2,40,4,2,2,1,21,82500,19,55000,17,17,11,9,3,3,1,0,1,1,54,36,2,2,,2,1,4,2,,5,3,3,1,,1,3,2,2,,0,0,0,0,0,0,0,0,0,4,2,2,,3,1,2,,,2,4,3,5,3,1,1,3,3,3,2,1,3,2,2,4,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63448,2,43,1,1,2,25,4,1,3,1,23,120000,18,45000,16,20,13,14,3,4,1,1,1,1,35,50,2,1,2,1,1,1,1,1,5,3,3,1,1,,,,,2,2,1,1,1,1,2,1,1,2,4,1,2,2,5,2,1,2,2,,,,,,,,,,,,,,2,,7,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63449,1,41,1,5,0,,0,1,3,,20,67500,,,18,,16,,4,,3,,8,,,,1,2,,2,,5,3,3,4,2,,1,1,4,3,3,5,2,0,0,0,0,0,0,0,0,0,,,,,,2,,4,2,1,4,1,,3,2,2,3,2,3,2,1,3,2,1,5,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63450,1,77,3,5,2,33,0,2,2,2,5,5500,,,13,,2,4,1,,0,0,5,,,,2,2,2,2,4,1,1,1,6,3,3,1,2,,,,,1,1,1,1,2,1,1,2,1,2,,,,,3,1,,1,2,,,,,,,,,,,,,,2,,7,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63451,1,46,1,1,2,30,4,1,3,1,25,160000,23,120000,16,14,16,16,3,1,3,3,1,7,65,,1,2,2,2,1,1,1,1,4,2,,2,,3,3,4,2,,2,1,1,1,1,1,0,1,1,4,2,2,,1,2,2,,,2,4,3,3,1,2,2,3,3,2,2,1,3,1,1,6,2,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63452,2,50,1,5,0,,1,1,3,1,22,100000,22,100000,20,,14,16,4,,1,3,1,,45,,2,2,2,2,2,5,3,3,4,2,,1,2,,,,,1,2,1,1,1,1,2,0,1,0,4,1,1,2,5,2,,2,1,,,,,,,,,,,,,,2,,3,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63453,1,25,1,5,0,,1,2,3,2,22,100000,5,5500,17,,16,16,3,,3,3,1,,52,,2,2,1,2,1,5,3,3,4,2,,1,1,,,,,2,2,1,1,1,1,2,1,1,1,4,2,2,1,5,1,,1,1,,,,,,,,,,,,,,1,,5,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63454,2,37,1,1,0,,2,1,3,1,26,180000,22,100000,16,16,11,16,3,3,1,3,1,1,40,40,2,2,2,2,2,5,3,3,4,2,,1,,6,4,4,3,,2,1,1,1,1,2,0,1,0,4,1,1,,1,1,1,,,2,4,3,3,2,2,2,2,2,2,2,2,2,3,1,4,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63455,2,60,1,1,4,22,2,1,3,,23,120000,1,500,13,16,12,14,1,1,1,2,2,1,10,60,2,2,,2,,6,3,3,4,2,,1,1,2,3,3,2,1,0,0,0,0,0,0,0,0,0,,,2,1,,3,2,4,3,1,4,4,4,2,3,1,3,,3,2,,3,1,1,6,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63456,1,57,1,1,2,40,2,1,3,1,21,82500,10,13750,13,16,12,12,1,1,1,1,2,1,29,50,2,2,,2,2,5,3,3,5,3,3,1,,7,4,4,4,,0,0,0,0,0,0,0,0,0,4,3,3,,5,3,3,,,2,4,4,5,2,2,3,1,3,3,2,2,3,,2,5,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63457,2,38,3,1,2,22,1,2,3,2,8,9000,,,12,12,12,12,1,0,4,,7,1,,18,,1,,,1,3,2,,,,,,,,,,,1,8,8,1,1,8,1,2,1,2,,,,,4,3,1,2,2,,,,,,,,,,,,,,,,4,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63458,1,25,1,5,0,,3,1,2,2,21,82500,10,13750,14,,13,13,1,,1,1,2,,8,,2,2,2,2,8,3,2,,4,2,,1,,3,3,3,2,,2,1,1,1,1,2,0,1,0,3,3,2,,2,3,,,,2,4,2,1,3,3,2,3,2,2,3,2,2,2,1,6,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63459,1,34,1,5,0,,3,1,2,1,19,55000,7,7500,16,,,13,3,,,1,4,,,,2,,2,2,0,0,1,1,1,1,1,2,1,,,,,2,2,1,1,1,1,2,0,1,0,,,2,1,1,2,,3,2,,,,,,,,,,,,,,1,,7,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63460,1,65,1,1,1,25,1,1,3,1,19,55000,,,13,12,12,,1,1,1,,5,1,,50,2,1,2,2,3,6,3,3,7,3,3,1,,5,5,5,3,,0,0,0,0,0,0,0,0,0,,,,,3,2,1,,,2,4,3,2,2,2,1,1,1,3,2,1,1,2,1,4,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63461,2,34,1,5,0,,1,1,2,2,18,45000,18,45000,12,,,13,1,,,1,1,,40,,2,,2,2,2,3,2,,1,1,1,1,1,,,,,1,8,1,1,2,8,1,0,2,0,4,3,2,1,5,2,,2,2,,,,,,,,,,,,,,2,,5,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
